id,description,swimming_school_id,instructor_id,date_start,date_end,price,times_per_week,max_num_of_participants,num_of_classes,is_multisport_accepted,is_enrollable
28,Fitness course focused on resistance training and muscle development in water.,12,4738,2020-03-01,2020-03-29,800,2,20,8,1,1
29,One-on-one training program designed for rapid skill improvement.,16,3080,2012-01-11,2012-01-25,200,1,15,2,1,1
30,Course covering practical rescue scenarios and emergency response techniques.,48,3704,2022-08-12,2022-08-19,300,3,10,3,1,1
31,Course building confidence and adaptability in outdoor swimming conditions.,10,2196,2023-07-11,2023-07-25,600,3,20,6,1,1
32,"Course focused on enjoyment, relaxation, and light physical activity.",18,3593,2023-02-03,2023-02-24,300,1,15,3,1,1
33,Structured training program preparing swimmers for competitive events.,23,2445,2021-07-13,2021-07-27,800,4,20,8,0,1
34,Course focusing on detailed improvement of all swimming strokes.,47,23,1996-09-03,1996-10-01,1600,4,20,16,1,1
35,Course designed to enhance long-distance swimming capabilities.,31,4486,2024-05-04,2024-05-11,100,1,20,1,1,1
36,Course aimed at improving sprint performance and reaction time.,22,4700,2016-10-13,2016-11-10,800,2,20,8,1,1
37,Course encouraging family participation in safe aquatic exercises.,16,4811,2009-06-01,2009-06-29,400,1,10,4,1,1
38,Course supporting physical recovery and therapeutic movement in water.,33,463,2021-08-31,2021-09-28,1200,3,20,12,1,1
39,High-level course designed for experienced swimmers seeking peak performance.,1,432,2024-01-07,2024-01-21,200,1,10,2,1,1
40,Course bridging intermediate and advanced skills with structured progression.,11,1415,2012-02-28,2012-03-06,300,3,15,3,1,1
41,Entry-level course introducing fundamental swimming concepts step by step.,43,1525,2009-12-27,2010-01-03,200,2,20,2,1,1
42,Course focused on accessibility and individualized support in aquatic environments.,32,4818,2015-10-14,2015-11-11,1200,3,10,12,1,1
43,Group course designed for participants with varied experience levels.,36,4327,2017-12-14,2017-12-21,400,4,20,4,1,1
44,Children’s development program focused on technique and confidence.,13,3267,2014-11-27,2014-12-18,900,3,20,9,1,1
45,Course aimed at improving balance and coordination in seniors.,36,3006,2015-07-02,2015-07-23,1200,4,20,12,1,1
46,Course focused on refining freestyle technique for triathlon performance.,2,10,2024-04-21,2024-04-28,100,1,10,1,0,1
47,Course combining conditioning exercises and swimming drills.,4,2111,2017-10-25,2017-11-01,200,2,10,2,1,1
48,Advanced one-on-one coaching focused on performance optimization.,9,917,2006-04-30,2006-05-28,1600,4,10,16,1,1
49,Comprehensive course covering water safety and preventive techniques.,6,207,2024-09-01,2024-09-15,600,3,10,6,1,1
50,Advanced course focusing on navigation and endurance in natural water settings.,46,1980,2019-02-11,2019-03-11,1600,4,20,16,1,1
